"Event"|"Site"|"Date"|"Round"|"White"|"Black"|"Result"|"WhiteElo"|"BlackElo"|"Moves"
"Live Chess"|"Chess.com"|"2022-11-03"|"-"|"suliborski30"|"CELTACOL6"|"0-1"|"658"|"880"|"e4 e6 Nf3 f6 d4 c6 c3 d6 Be2 b6 O-O Nd7 Re1 g6 b3 Bg7 Bb2 Nh6 c4 Nf7 h3 Nf8 Nc3 h5 d5 Bb7 b4 Ne5 Nxe5 dxe5 c5 Kf7 dxe6+ Kxe6 Qxd8 Rxd8 Bc4+ Ke7 Na4 b5 f4 bxa4 a3 Nd7 f5 g5 g4 hxg4 hxg4 Rh4 Be2 Kf7 Kf2 Rh2+ Kg3 Rdh8 Bc4+ Kf8"
"5|0 Blitz"|"Chess.com"|"2022-11-04"|"2"|"suliborski30"|"RyanRodeb"|"0-1"|"631"|"1074"|"e4 e5 Nf3 Nf6 Nc3 Bb4 d3 Qe7 Bd2 d6 a3 Ba5 g3 c6 Bg2 O-O O-O Bg4 Re1 Nbd7 b4 Bb6 b5 c5 a4 a5 h3 Bh5 g4 Bg6 Nh4 Ne8 Nxg6 fxg6 f4 exf4 Rf1 Qf6 Nd5 c4+ Kh1 Qd4 Ne7+ Kh8 Nd5 cxd3 cxd3 Qxd3 Bxf4 Qxd1 Raxd1 Nef6 Nxb6 Nxb6 Rxd6 Nxa4 Be5 Nc5 Bxf6 gxf6 Rdxf6 Rxf6 Rxf6 a4 e5 a3 e6 a2 Rf1 a1=Q Rxa1 Rxa1+ Kh2 Nxe6 Bxb7 Ra2+ Kg3 Ra3+ Kh4 g5+ Kh5 Kg7 Bd5 Rxh3#"
"5|0 Blitz"|"Chess.com"|"2022-11-04"|"3"|"Sonohr"|"suliborski30"|"0-1"|"1016"|"877"|"e4 c5 f4 Nc6 c3 e6 Bb5 d5 Nf3 a6 Bxc6+ bxc6 exd5 cxd5 O-O Nf6 Ne5 Bb7 d4 c4 b3 cxb3 axb3 Be7 c4 O-O Ba3 Bxa3 Nxa3 Re8 c5 Ne4 c6 Bc8 Rc1 Qc7 Qg4 Nd2 Nf3 Nxf1 Rxf1 Qb6 Qh4 Qxc6 Ng5 h6 Nxf7 Kxf7 Qh5+ Kg8 Qg6 Rf8 Rf3 Rf6 Qg4 e5 Rg3 Bxg4 Rxg4 exf4 h3 f3 gxf3 Rxf3 h4 Qc1+ Kh2 Raf8 Rg2 Rf2 Kh3 Qe3+ Rg3 R2f3 Kg4 Qf4+ Kh5 Qxg3 Nc4 R3f5#"
"5|0 Blitz"|"Chess.com"|"2022-11-04"|"4"|"suliborski30"|"Elheji"|"1-0"|"1016"|"1001"|"e4 c6 Nf3 d5 e5 c5 d4 c4 b3 b5 Bb2 Bf5 Nc3 a6 a4 Nc6 axb5 axb5 Rxa8 Qxa8 Nxb5 Qb7 Nc3 e6 Ng5 Bb4 bxc4 Bxc3+ Bxc3 dxc4 Bxc4 Nh6 O-O O-O d5 exd5 Bxd5 Rd8 Bxc6 Rxd1 Bxb7 Rxf1+ Kxf1 Bxc2 Bd5 Bd3+ Ke1 Kf8 e6 fxe6 Nxe6+ Ke7 Bxg7 Nf5 Ba1 Nh4 g3 Ng2+ Kd2 Bf1 f4 Kd6 Ba2 h5 Be5+ Kc6 Nd4+ Kc5 Nf3 Kb4 Bb1 Kb3 Bg6 h4 Nxh4 Nxh4 gxh4 Bb5 h5 Kb4 h6 Bd7 h7 Kc5 h8=Q Kc6 Bf6"
"5|0 Blitz"|"Chess.com"|"2022-11-04"|"5"|"vetleFRAtau"|"suliborski30"|"0-1"|"893"|"1070"|"e4 c5 Nf3 Nc6 c3 e6 d4 cxd4 cxd4 d5 e5 f6 Bb5 a6 Bxc6+ bxc6 Bd2 c5 Be3 Qc7 O-O Bb7 exf6 Nxf6 dxc5 Bxc5 Bxc5 Qxc5 Nc3 O-O Ne5 d4 Ne2 Qxe5 Nxd4 Qe4 Re1 Qxg2#"
"5|0 Blitz"|"Chess.com"|"2022-11-04"|"6"|"suliborski30"|"drdocdeath"|"1-0"|"1080"|"602"|"d4 e5 dxe5 Bb4+ c3 Bc5 e3 Qe7 Nf3 f5 Bc4 Nh6 h3 Nc6 b4 Bb6 Ba3 Nxe5 b5 Nxc4 Bxe7 Kxe7 Qd5 Nd6 Qe5+ Kf7 Ng5+ Kg6 h4 Re8 Qg3 Ng4 h5+ Kf6 Nxh7+ Kf7 Ng5+ Kf6 h6 Nxe3 fxe3 Rxe3+ Qxe3 Bxe3 h7 Kxg5 h8=Q g6 Qh4#"
"5|0 Blitz"|"Chess.com"|"2022-11-04"|"7"|"suliborski30"|"Odaiwantedalive"|"0-1"|"1010"|"1047"|"d4 d5 Nf3 e6 c4 c6 e3 h6 Be2 Nf6 Nc3 Be7 O-O O-O Re1 Ne4 Bd3 Nxc3 bxc3 Qd6 cxd5 cxd5 e4 a6 e5 Qd8 Qc2 f5 exf6 Bxf6 Bh7+ Kh8 Bxh6 gxh6 Qg6 Qe7 Qxh6 Qxh7 Qxf8+ Qg8 Qxf6+ Kh7 Qh4+ Kg7 Ng5 Nc6 Qg4 Kf8 Qf4+ Kg7 Qe5+ Nxe5 Rxe5 Bd7 Rae1 Re8 Nh3 Kf6 R1e3 Qg6 Rf3+ Ke7 g3 Qg4 Rg5 Qxf3 Rg7+ Kd6 Ng5 Qf6 Ne4+ dxe4 Rg4"
"5|0 Blitz"|"Chess.com"|"2022-11-05"|"4"|"suliborski30"|"salimax44"|"1-0"|"1028"|"714"|"d4 e5 d5 e4 c4 f5 f3 c6 Nc3 Bc5 fxe4 cxd5 cxd5 Qh4+ g3 Qg4 Bh3 Qh5 exf5 d6 e4 Qxd1+ Nxd1 Nh6 Nf3 Ng4 Bxg4 g6 Be3 Bb4+ Bd2 Bc5 b4 Bb6 Be3 Bc7 O-O O-O Nc3 Na6 fxg6 hxg6 Ng5 Rxf1+ Rxf1 Bxg4 h3 Be2 Nxe2 Nxb4 Nf4 Nxa2 Nxg6 Kg7 Nf4 Kf6 Nh5+ Kg6 g4 Bb6 Rf6#"
"5|0 Blitz"|"Chess.com"|"2022-11-05"|"5"|"suliborski30"|"wuju79"|"0-1"|"1014"|"1367"|"e4 e5 Nf3 Nc6 Bc4 h6 c3 d6 d4 exd4 cxd4 Bg4 h3 Bxf3 Qxf3 Qf6 Qb3 b6 Qc3 Qxd4 Qxd4 Nxd4 Bd3 c5 Be3 g6 Bxd4 cxd4 O-O Bg7 Nd2 Ne7 Nc4 Kd7 f4 Rhc8 e5 d5 Na3 Nf5 Bxf5+ gxf5 Nb5 a6 Nxd4 Rc4 Nxf5 Bf8 Rad1 Bc5+ Kh1 d4 Nxh6 Rg8 Nxf7 Rc2 Ng5 Rxb2 e6+ Ke7 g4 Rxa2 Ne4 Ra3 Nxc5 bxc5 f5 Rxh3+ Kg2 Rh4 Kf3 Rgxg4 Rb1 Rf4+ Ke2 Rxf1 Kxf1 Rf4+ Ke2 Rxf5 Rb7+ Kxe6 Rb6+ Kd5 Rxa6 Re5+"
"Live Chess"|"Chess.com"|"2022-11-05"|"-"|"GopinathElumalai"|"suliborski30"|"1-0"|"1047"|"811"|"e4 e5 Nc3 Nc6 Qf3 Nf6 Bc4 d6 Nd5 Be7 c3 O-O Ne2 a6 O-O b5 Bd3 Bb7 a3 Ra7 Ng3 Re8 Be2 Qa8 d3 Nd8 Nf5 Nxd5 exd5 Bxd5 Qg3 Bf6 Bg5 g6 Bxf6"
